trip_id,stop_id,direction,arrival,departure,stop_seq,timepoint,pickup,dropoff,display,driver
1-1-R1-S1-21,452a,Lewis North,15:01:00,15:01:00,18,0,3,3,1,
1-1-R1-S1-21,465a,Lewis North,15:02:00,15:02:00,19,0,3,3,1,
1-1-R1-S1-21,474a,Lewis North,15:03:00,15:03:00,20,0,3,3,1,
1-1-R1-S1-22,100a,Lewis North,15:40:00,15:40:00,0,1,0,0,1,
1-1-R1-S1-22,101a,Lewis North,15:40:45,15:40:45,1,0,3,3,1,
1-1-R1-S1-22,140a,Lewis North,15:41:30,15:41:30,2,0,3,3,1,
1-1-R1-S1-22,141a,Lewis North,15:42:00,15:42:00,3,0,3,3,1,
1-1-R1-S1-22,201a,Lewis North,15:43:30,15:43:30,4,0,3,3,1,
1-1-R1-S1-22,212a,Lewis North,15:44:00,15:44:00,5,0,3,3,1,
1-1-R1-S1-22,217a,Lewis North,15:45:00,15:45:00,6,0,3,3,1,
1-1-R1-S1-22,303a,Lewis North,15:47:00,15:47:00,7,0,3,3,1,
1-1-R1-S1-22,305a,Lewis North,15:47:30,15:47:30,8,0,3,3,1,
1-1-R1-S1-22,307a,Lewis North,15:48:00,15:48:00,9,0,3,3,1,
1-1-R1-S1-22,308a,Lewis North,15:48:30,15:48:30,10,0,3,3,1,
1-1-R1-S1-22,310a,Lewis North,15:49:00,15:49:00,11,0,3,3,1,
1-1-R1-S1-22,313a,Lewis North,15:49:30,15:49:30,12,0,3,3,1,
1-1-R1-S1-22,400a,Lewis North,15:51:00,15:51:00,13,0,3,3,1,
1-1-R1-S1-22,410a,Lewis North,15:56:00,15:56:00,14,0,3,3,1,
1-1-R1-S1-22,413a,Lewis North,15:57:00,15:57:00,15,0,3,3,1,
1-1-R1-S1-22,414a,Lewis North,15:58:00,15:58:00,16,0,3,3,1,
1-1-R1-S1-22,415a,Lewis North,15:58:30,15:58:30,17,0,3,3,1,
1-1-R1-S1-22,452a,Lewis North,16:01:00,16:01:00,18,0,3,3,1,
1-1-R1-S1-22,465a,Lewis North,16:02:00,16:02:00,19,0,3,3,1,
1-1-R1-S1-22,474a,Lewis North,16:03:00,16:03:00,20,0,3,3,1,
1-1-R1-S1-23,100a,Lewis North,16:40:00,16:40:00,0,1,0,0,1,
1-1-R1-S1-23,101a,Lewis North,16:40:45,16:40:45,1,0,3,3,1,
1-1-R1-S1-23,140a,Lewis North,16:41:30,16:41:30,2,0,3,3,1,
1-1-R1-S1-23,141a,Lewis North,16:42:00,16:42:00,3,0,3,3,1,
1-1-R1-S1-23,201a,Lewis North,16:43:30,16:43:30,4,0,3,3,1,
1-1-R1-S1-23,212a,Lewis North,16:44:00,16:44:00,5,0,3,3,1,
1-1-R1-S1-23,217a,Lewis North,16:45:00,16:45:00,6,0,3,3,1,
1-1-R1-S1-23,303a,Lewis North,16:47:00,16:47:00,7,0,3,3,1,
